,n,m,c,iter1,iter2,diff
408,60,40,15,84,85,0.8333333333333335
409,60,40,15,136,137,0.8333333333333335
410,60,40,15,306,307,0.833333333333333
411,60,40,20,1,2,0.8333333333333334
412,60,40,20,12,13,0.8333333333333333
413,60,40,26,15,16,0.8333333333333334
414,60,40,26,55,56,0.8333333333333334
415,60,40,26,64,65,0.8333333333333333
416,60,60,5,0,1,2.777777777777777
417,60,60,5,7,8,0.5555555555555571
418,60,60,5,51,52,0.5555555555555571
419,60,60,5,66,67,0.5555555555555571
420,60,60,5,104,105,0.5555555555555571
421,60,60,5,146,147,0.5555555555555536
422,60,60,5,204,205,0.55555555555555
423,60,60,10,4,5,1.1111111111111143
424,60,60,10,7,8,1.1111111111111098
425,60,60,10,255,256,0.5555555555555518
426,60,60,10,973,974,0.5555555555555527
427,60,60,15,0,1,0.5555555555555522
428,60,60,15,1,2,0.5555555555555527
429,60,60,15,2,3,0.5555555555555522
430,60,60,15,7,8,0.5555555555555571
431,60,60,15,23,24,0.5555555555555571
432,60,60,15,148,149,0.5555555555555571
433,60,60,20,0,1,1.1111111111111094
434,60,60,20,2,3,0.5555555555555527
435,60,60,20,6,7,0.5555555555555522
436,60,60,26,0,1,1.1111111111111143
437,60,60,26,29,30,0.5555555555555522
438,60,60,26,397,398,0.5555555555555527
439,60,60,26,571,572,0.5555555555555522
