,n,m,c,tipoFrec,maxDist
126,10.0,10.0,24.0,1.0,10.0
127,10.0,10.0,24.0,1.0,10.0
128,10.0,10.0,24.0,1.0,10.0
129,10.0,10.0,24.0,1.0,10.0
130,10.0,10.0,24.0,1.0,10.0
131,10.0,10.0,24.0,1.0,9.0
132,10.0,10.0,24.0,1.0,10.0
133,10.0,10.0,24.0,1.0,10.0
134,10.0,10.0,24.0,1.0,10.0
135,10.0,10.0,24.0,1.0,10.0
136,10.0,10.0,24.0,1.0,9.0
137,10.0,10.0,24.0,1.0,9.0
138,10.0,10.0,24.0,1.0,10.0
139,10.0,10.0,24.0,1.0,10.0
140,10.0,10.0,24.0,1.0,10.0
141,10.0,10.0,24.0,1.0,10.0
142,10.0,10.0,24.0,1.0,10.0
143,10.0,10.0,24.0,1.0,10.0
144,10.0,10.0,24.0,1.0,10.0
145,10.0,10.0,24.0,1.0,9.0
146,10.0,10.0,24.0,1.0,9.0
147,10.0,10.0,24.0,1.0,10.0
148,10.0,10.0,24.0,1.0,10.0
149,10.0,10.0,24.0,1.0,10.0
150,10.0,10.0,24.0,1.0,10.0
151,10.0,10.0,24.0,1.0,10.0
152,10.0,10.0,24.0,1.0,10.0
153,10.0,10.0,24.0,1.0,10.0
154,10.0,10.0,24.0,1.0,10.0
155,10.0,10.0,24.0,1.0,10.0
156,10.0,10.0,24.0,1.0,10.0
157,10.0,10.0,24.0,1.0,10.0
158,10.0,10.0,24.0,1.0,10.0
159,10.0,10.0,24.0,1.0,10.0
160,10.0,10.0,24.0,1.0,10.0
161,10.0,10.0,24.0,1.0,10.0
162,10.0,10.0,24.0,1.0,10.0
163,10.0,10.0,24.0,1.0,10.0
164,10.0,10.0,24.0,1.0,10.0
165,10.0,10.0,24.0,1.0,10.0
166,10.0,10.0,24.0,1.0,10.0
167,10.0,10.0,24.0,1.0,10.0
168,10.0,10.0,24.0,1.0,10.0
169,10.0,10.0,24.0,1.0,9.0
170,10.0,10.0,24.0,1.0,10.0
171,10.0,10.0,24.0,1.0,10.0
172,10.0,10.0,24.0,1.0,10.0
173,10.0,10.0,24.0,1.0,10.0
174,10.0,10.0,24.0,1.0,10.0
175,10.0,10.0,24.0,1.0,10.0
176,10.0,10.0,24.0,1.0,10.0
177,10.0,10.0,24.0,1.0,10.0
178,10.0,10.0,24.0,1.0,9.0
179,10.0,10.0,24.0,1.0,10.0
180,10.0,10.0,24.0,1.0,10.0
181,10.0,10.0,24.0,1.0,10.0
182,10.0,10.0,24.0,1.0,10.0
183,10.0,10.0,24.0,1.0,10.0
184,10.0,10.0,24.0,1.0,10.0
185,10.0,10.0,24.0,1.0,10.0
186,10.0,10.0,24.0,1.0,10.0
187,10.0,10.0,24.0,1.0,10.0
188,10.0,10.0,24.0,1.0,10.0
189,10.0,10.0,24.0,1.0,10.0
190,10.0,10.0,24.0,1.0,10.0
191,10.0,10.0,24.0,1.0,10.0
192,10.0,10.0,24.0,1.0,10.0
193,10.0,10.0,24.0,1.0,10.0
194,10.0,10.0,24.0,1.0,10.0
195,10.0,10.0,24.0,1.0,9.0
196,10.0,10.0,24.0,1.0,10.0
197,10.0,10.0,24.0,1.0,10.0
198,10.0,10.0,24.0,1.0,10.0
199,10.0,10.0,24.0,1.0,10.0
200,10.0,10.0,22.0,1.0,9.0
201,10.0,10.0,22.0,1.0,10.0
202,10.0,10.0,22.0,1.0,10.0
203,10.0,10.0,22.0,1.0,10.0
204,10.0,10.0,22.0,1.0,10.0
205,10.0,10.0,22.0,1.0,10.0
206,10.0,10.0,22.0,1.0,9.0
207,10.0,10.0,22.0,1.0,10.0
208,10.0,10.0,22.0,1.0,10.0
209,10.0,10.0,22.0,1.0,9.0
210,10.0,10.0,22.0,1.0,10.0
211,10.0,10.0,22.0,1.0,9.0
212,10.0,10.0,22.0,1.0,9.0
213,10.0,10.0,22.0,1.0,9.0
214,10.0,10.0,22.0,1.0,9.0
215,10.0,10.0,22.0,1.0,10.0
216,10.0,10.0,22.0,1.0,10.0
217,10.0,10.0,22.0,1.0,9.0
218,10.0,10.0,22.0,1.0,9.0
219,10.0,10.0,22.0,1.0,9.0
220,10.0,10.0,22.0,1.0,9.0
221,10.0,10.0,22.0,1.0,9.0
222,10.0,10.0,22.0,1.0,9.0
223,10.0,10.0,22.0,1.0,10.0
224,10.0,10.0,22.0,1.0,10.0
225,10.0,10.0,22.0,1.0,9.0
226,10.0,10.0,22.0,1.0,9.0
227,10.0,10.0,22.0,1.0,10.0
228,10.0,10.0,22.0,1.0,9.0
229,10.0,10.0,22.0,1.0,10.0
230,10.0,10.0,22.0,1.0,9.0
231,10.0,10.0,22.0,1.0,10.0
232,10.0,10.0,22.0,1.0,10.0
233,10.0,10.0,22.0,1.0,9.0
234,10.0,10.0,22.0,1.0,10.0
235,10.0,10.0,22.0,1.0,9.0
236,10.0,10.0,22.0,1.0,10.0
237,10.0,10.0,22.0,1.0,10.0
238,10.0,10.0,22.0,1.0,10.0
239,10.0,10.0,22.0,1.0,10.0
240,10.0,10.0,22.0,1.0,10.0
241,10.0,10.0,22.0,1.0,9.0
242,10.0,10.0,22.0,1.0,10.0
243,10.0,10.0,22.0,1.0,10.0
244,10.0,10.0,22.0,1.0,10.0
245,10.0,10.0,22.0,1.0,10.0
246,10.0,10.0,22.0,1.0,9.0
247,10.0,10.0,22.0,1.0,10.0
248,10.0,10.0,22.0,1.0,10.0
249,10.0,10.0,22.0,1.0,10.0
250,10.0,10.0,22.0,1.0,9.0
251,10.0,10.0,22.0,1.0,9.0
252,10.0,10.0,22.0,1.0,10.0
253,10.0,10.0,22.0,1.0,10.0
254,10.0,10.0,22.0,1.0,9.0
255,10.0,10.0,22.0,1.0,9.0
256,10.0,10.0,22.0,1.0,9.0
257,10.0,10.0,22.0,1.0,10.0
258,10.0,10.0,22.0,1.0,10.0
259,10.0,10.0,22.0,1.0,10.0
260,10.0,10.0,22.0,1.0,10.0
261,10.0,10.0,22.0,1.0,10.0
262,10.0,10.0,22.0,1.0,10.0
263,10.0,10.0,22.0,1.0,9.0
264,10.0,10.0,22.0,1.0,9.0
265,10.0,10.0,22.0,1.0,9.0
266,10.0,10.0,22.0,1.0,10.0
267,10.0,10.0,22.0,1.0,10.0
268,10.0,10.0,22.0,1.0,10.0
269,10.0,10.0,22.0,1.0,9.0
270,10.0,10.0,22.0,1.0,10.0
271,10.0,10.0,22.0,1.0,10.0
272,10.0,10.0,22.0,1.0,10.0
273,10.0,10.0,22.0,1.0,10.0
274,10.0,10.0,22.0,1.0,10.0
275,10.0,10.0,22.0,1.0,10.0
276,10.0,10.0,22.0,1.0,10.0
277,10.0,10.0,22.0,1.0,10.0
278,10.0,10.0,22.0,1.0,10.0
279,10.0,10.0,22.0,1.0,10.0
280,10.0,10.0,22.0,1.0,9.0
281,10.0,10.0,22.0,1.0,10.0
282,10.0,10.0,22.0,1.0,10.0
283,10.0,10.0,22.0,1.0,9.0
284,10.0,10.0,22.0,1.0,10.0
285,10.0,10.0,22.0,1.0,10.0
286,10.0,10.0,22.0,1.0,10.0
287,10.0,10.0,22.0,1.0,10.0
288,10.0,10.0,22.0,1.0,9.0
289,10.0,10.0,22.0,1.0,10.0
