,n,m,c,tipoFrec,maxDist,maxDist%
95,10.0,300.0,4.0,2.0,263.0,12.333333333333329
96,10.0,300.0,4.0,2.0,258.0,14.0
97,10.0,300.0,4.0,2.0,258.0,14.0
98,10.0,300.0,4.0,2.0,257.0,14.333333333333329
99,10.0,300.0,4.0,2.0,258.0,14.0
100,10.0,300.0,4.0,2.0,254.0,15.333333333333329
101,10.0,300.0,4.0,2.0,255.0,15.0
102,10.0,300.0,4.0,2.0,258.0,14.0
103,10.0,300.0,4.0,2.0,259.0,13.666666666666671
104,10.0,300.0,4.0,2.0,259.0,13.666666666666671
105,10.0,300.0,4.0,2.0,260.0,13.333333333333329
106,10.0,300.0,4.0,2.0,256.0,14.666666666666671
107,10.0,300.0,4.0,2.0,261.0,13.0
108,10.0,300.0,4.0,2.0,255.0,15.0
109,10.0,300.0,4.0,2.0,258.0,14.0
110,10.0,300.0,4.0,2.0,264.0,12.0
111,10.0,300.0,4.0,2.0,265.0,11.666666666666671
112,10.0,300.0,4.0,2.0,254.0,15.333333333333329
113,10.0,300.0,4.0,2.0,259.0,13.666666666666671
114,10.0,300.0,4.0,2.0,257.0,14.333333333333329
115,10.0,300.0,4.0,2.0,257.0,14.333333333333329
116,10.0,300.0,4.0,2.0,259.0,13.666666666666671
117,10.0,300.0,4.0,2.0,256.0,14.666666666666671
118,10.0,300.0,4.0,2.0,261.0,13.0
119,10.0,300.0,4.0,2.0,252.0,16.0
120,10.0,300.0,4.0,2.0,255.0,15.0
121,10.0,300.0,4.0,2.0,259.0,13.666666666666671
122,10.0,300.0,4.0,2.0,257.0,14.333333333333329
123,10.0,300.0,4.0,2.0,254.0,15.333333333333329
124,10.0,300.0,4.0,2.0,257.0,14.333333333333329
125,10.0,300.0,4.0,2.0,257.0,14.333333333333329
126,10.0,300.0,4.0,2.0,255.0,15.0
127,10.0,300.0,4.0,2.0,256.0,14.666666666666671
128,10.0,300.0,4.0,2.0,255.0,15.0
129,10.0,300.0,4.0,2.0,256.0,14.666666666666671
130,10.0,300.0,4.0,2.0,259.0,13.666666666666671
131,10.0,300.0,4.0,2.0,257.0,14.333333333333329
132,10.0,300.0,4.0,2.0,257.0,14.333333333333329
133,10.0,300.0,4.0,2.0,254.0,15.333333333333329
134,10.0,300.0,4.0,2.0,254.0,15.333333333333329
135,10.0,300.0,4.0,2.0,255.0,15.0
136,10.0,300.0,4.0,2.0,258.0,14.0
137,10.0,300.0,4.0,2.0,258.0,14.0
138,10.0,300.0,4.0,2.0,258.0,14.0
139,10.0,300.0,4.0,2.0,265.0,11.666666666666671
140,10.0,300.0,4.0,2.0,260.0,13.333333333333329
141,10.0,300.0,4.0,2.0,257.0,14.333333333333329
142,10.0,300.0,4.0,2.0,258.0,14.0
143,10.0,300.0,4.0,2.0,261.0,13.0
